,tweets;;;;;
"0,""If you know the enemy &amp"; know yourself, you need not fear the result of a hundred battles. If you know yourself but not the enemy, for every victory gained you will also suffer a defeat. If you know neither the enemy nor yourself, you will succumb in every battle.;;;;
;;;;;
"-The Art of War""";;;;;
"1,""Today's Italian American MLB player is Art Ceccarelli, pitched for the KC Athletics, Orioles, &amp";" Cubs in parts of 5 seasons spanning 1955–1960, served in the Korean War from 1950-52. only LHP to defeat Sandy Koufax in the Coliseum (1959, 10 inn) more: https://t.co/KugMN9Irvo""";;;;
"2,""@Cernovich @rramom59 You are such a drama queen. Have patience. ";;;;;
“Rouse him, and learn the principle of his activity or inactivity. Force him to reveal himself, so as to find out his vulnerable spots.”;;;;;
"― Sun Tzu, The Art of War""";;;;;
3,When a person's financial worth is wrapped in the art of war you can't possibly except an unbiased opinion on war. The only way to prevent moral injury is to feel justified and rectified. Some people are better at convincing themselves than others. #veteransuicideawarenesss;;;;;
"4,""@JaromeBellVA “Let your plans be dark and impenetrable as night, and when you move, fall like a thunderbolt.”";;;;;
"― Sun Tzu, The Art of War""";;;;;
"5,""@tradigi_art I think Benji did say on stream that he felt like it was a moment of rage or something like that from Dundee. I don’t think he took the text as a war cry, but I do agree that he manipulated Riley entirely. I mean he even told her that he’s done with the BBMC after all that""";;;;;
6,@TheRealZemy To me I felt like the text was a horribly written Declaration of War. 'You taught my club to not trust you.... thanks. That gives them the motive to kill you' kind of vibe. Benji just manipulated her and she drew the line at it.;;;;;
7,Great guests. They were totally respectful of the apartment. I would love to have them again. The Art of War: A Graphic Novel by  Sun Tzu &amp;  Pete Katz. https://t.co/iXPl2s16zk;;;;
"8,""@broke_dm The office cannon is doing fine, even if one of the officers dropped by today and tried to claim he wanted it for his own office 😤 Our oldest manuscript is Fl. Vegetii Renari Viri from 1532. The next oldest is Machiavelli's Art of War in an translation from 1574. https://t.co/RekokDI9my""";;;;;
9,Starting to read the book The War of Art and already starting to see the patterns ive been in.;;;;;
